learning_rate_0.005,learning_rate_0.01,learning_rate_0.05,learning_rate_0.1
1.67374755859375,1.5861474609375,2.0386817932128904,2.2648875427246096
1.6455982971191403,1.5777204895019532,2.038497009277344,2.2866177368164062
1.6566368103027345,1.5865225219726562,2.062958221435547,2.264348907470703
1.6566128540039062,1.572219085693359,2.061199951171875,2.2664747619628907
1.6684933471679688,1.5963722229003907,2.058349456787109,2.262337493896484
1.673649444580078,1.5738458251953125,2.05188232421875,2.2323089599609376
1.652864990234375,1.5658045959472655,2.035464324951172,2.2918624877929688
1.6844075012207032,1.5881488037109377,2.0759683227539063,2.2412477111816407
1.6585400390625,1.6179180908203126,2.0236328125,2.259969940185547
1.6709083557128903,1.5508404541015626,2.059476165771484,2.275232849121094
1.642615966796875,1.584518280029297,2.013507995605469,2.2762164306640624
1.6562672424316407,1.5892417907714844,2.016809539794922,2.28969482421875
1.659801025390625,1.5789251708984375,2.0306724548339843,2.291847991943359
1.6340081787109375,1.610144805908203,2.064048156738281,2.281583557128906
1.6353044128417968,1.5712625122070312,2.040105895996094,2.418892822265625
